;nr;file;year;page;source;context;cluster;nz;loc
23;2214;1558_Bosc_Cupe;1558;167;eenen grooten afflaet;In dit iaer is gepubliceert eenen grooten afflaet  de papa Paulo tercio om;1;Z;c
24;2215;1558_Bosc_Cupe;1558;168;het bestant van thien maanden;In dit iaer is affgepubliceert  het bestant van thien maanden  tusschen den keyserlycken maiesteyt en;1;Z;c
25;2216;1558_Bosc_Cupe;1558;202;andere brieven;die soldaten binnen der stadt andere brieven gecregen ten zelven dagen vanden;2;Z;c
26;2217;1558_Bosc_Cupe;1558;210;den anderen brieff ofte missive;Den anderen brieff ofte missive;2;Z;c
27;2218;1558_Bosc_Cupe;1558;211;de coelense pacificatie en peys;voors brieven aennopende zyn van de Coelense pacificatie en peys die den voors heer Ian;1;Z;c
28;2219;1558_Bosc_Cupe;1558;218;90 9192 etc ex libb ms aedituorem;off wat te vooren  90 9192 etc ex libb MS aedituorem  ‘Wy kerckmeesters hebben ontfangen;8;Z;c
29;2220;1558_Bosc_Cupe;1558;224;ex bredenb l 3 c 29;Ex Bredenb l 3 c 29;8;Z;c
30;2223;1558_Bosc_Cupe;1558;226;de voors brieven met alle de voors stucken;Ende dat voorts de voors brieven met alle de voors stucken by copye vandie vande voors staten van;2;Z;c
31;2221;1558_Bosc_Cupe;1558;226;die copye vande brieven van syn hoocheyt;voors gedeputeerde vande generale staten die copye vande brieven van syn hoocheyt  met de copye vande articulen;2;Z;c
32;2222;1558_Bosc_Cupe;1558;226;de copye vande articulen vanden peys;brieven van syn hoocheyt met de copye vande articulen vanden peys brieven en andere stucken daer;1;Z;c
33;2954;1568_Gent_Vaer;1568;1;een vlieghende mare oft gheruchte;Alzoomen wart hoorende een vlieghende mare oft gheruchte  als datmen wart predickende te velde;5;Z;c
34;2955;1568_Gent_Vaer;1568;1;sommighe catolijcque;teer van lichame ende soo sommighe catolijcque zegghen die hem wel kennen;6;Z;c
35;2956;1568_Gent_Vaer;1568;2;edict;Van een edict up tfaict vande nieu predicatie van eene justicie;1;Z;c
36;2959;1568_Gent_Vaer;1568;3;justicie;Van een justicie  te Ghendt ghedaen ende noch van der veltpredicatie;1;Z;c
37;2957;1568_Gent_Vaer;1568;3;voorghebodt;want zoo zaen als dit voorghebodt  voornoemt ende meer andere ghelesen;1;Z;c
38;2958;1568_Gent_Vaer;1568;3;eenighe aude vrauwen;voort ende voort Daer waren eenighe aude vrauwen  die spraken openbaerlic ende overluut;6;Z;c
39;2963;1568_Gent_Vaer;1568;4;drij wetten;Waerom dat zulcx bij deze drij wetten  ghedaen was mach men meer;1;Z;c
40;2962;1568_Gent_Vaer;1568;4;gheruchte;hemlieden biddende dat zij zulck gheruchte met schieten niet maken en;5;Z;c
41;2961;1568_Gent_Vaer;1568;4;sommighe catolijcque;groot ghedruus maecte doe zeijden sommighe catolijcque daer luden de clocken vande;6;Z;c
42;2960;1568_Gent_Vaer;1568;4;predicatie;In dese  predicatie ghelijc veel dijncx metter tijt vermeerdert maer niet;4;Z;c
43;2964;1568_Gent_Vaer;1568;6;men;daer al dhandt an hilt  Men becief wel datter vanden hoven;6;Z;c
44;2966;1568_Gent_Vaer;1568;8;dander;laten ghezegghen Daer up dat dander zeijden neen dat en es;6;Z;c
45;2968;1568_Gent_Vaer;1568;8;dander;laten ghezegghen Daer up dat dander zeijden neen dat en es;6;Z;c
46;2967;1568_Gent_Vaer;1568;8;dandere;ghiericheijt Wijst mij die zegghen dandere  dat zullen witte raven;6;Z;c
47;2965;1568_Gent_Vaer;1568;8;ghues;colueren schenen te hebben De ghues  zeijden de gheestelicheijt es eenen;6;Z;c
48;2969;1568_Gent_Vaer;1568;8;zij;quaet om bestieren ende daer zij n veelderande zinnen onder ghemijnghelt;6;Z;c
49;2970;1568_Gent_Vaer;1568;9;den heere;resisteren en can alst emmer den Heere  ghedestineert heeft tzelve te willen;6;Z;c
50;2971;1568_Gent_Vaer;1568;9;tghemeen puepele;es een scheerp zweert ende tghemeen puepele  zoude daer lichte een oorzake;6;Z;c
51;2973;1568_Gent_Vaer;1568;11;dees tempelschenders;schenen vremdelijnghen zijnde zoo wrochten dees tempelschenders  al neerstich int clooster ten;6;Z;c
52;2972;1568_Gent_Vaer;1568;11;hemlieden;partijelicke sermoenen die eenighe van hemlieden altemet ghedaen hadden die al;6;Z;c
53;2974;1568_Gent_Vaer;1568;12;gheruchte;ontrent den ij hueren groot  gheruchte in Sente Janshuus van breken;5;Z;c
54;2976;1568_Gent_Vaer;1568;14;wetten ende ordonnantien;lichte graten daer in Veel wetten ende ordonnantien zijn wel onder de weerlicke;1;Z;c
55;2975;1568_Gent_Vaer;1568;14;jacob;nijt die quade beeste daer Jacob af sprack dwelc nochtans uut;6;Z;c
56;2978;1568_Gent_Vaer;1568;14;men;met den bouck vanden Fre men ueren dat en gheeft nochtans;6;Z;c
57;2977;1568_Gent_Vaer;1568;14;nieuwe;ende afghestelt gheworden zijn ende nieuwe  in die stede ghemaect Ons;4;Z;c
58;2986;1568_Gent_Vaer;1568;15;mare;De mare liep ooc dat in tclooster ten Fremenueren was uuten;5;Z;c
59;2985;1568_Gent_Vaer;1568;15;ghetughenessen;daghe toe daer veel schoone ghetughenessen af zijn hier al te;5;Z;c
60;2979;1568_Gent_Vaer;1568;15;die lieden;Wat die lieden zeijden van tcrisma dat zij in de autaren vonden;6;Z;c
61;2981;1568_Gent_Vaer;1568;15;tghemeen volck ende die vrauwen;Tghemeen volck ende die vrauwen zeijden vremt dijnck van die autaren Wat daer in bevonden;6;Z;c
62;2983;1568_Gent_Vaer;1568;15;tvolc;in doucxkins ghewonden waer inne  tvolc zeer murmurreerde meenende dattet tooverie;6;Z;c
63;2982;1568_Gent_Vaer;1568;15;zij;de cause niet en wisten Zij  zeijden men vant voor elcken-autaer;6;Z;c
64;2980;1568_Gent_Vaer;1568;15;zij;lieden zeijden van tcrisma dat zij  in de autaren vonden ende;6;Z;c
65;2984;1568_Gent_Vaer;1568;15;zij;vremt voor hemlieden mits dat zij de cause niet en wisten;6;Z;c
66;2988;1568_Gent_Vaer;1568;17;dit voorghebodt;desen vanden hove ghecommen was Dit voorghebodt  ghelesen zijnde riepen die knechten;1;Z;c
67;2987;1568_Gent_Vaer;1568;17;een placcaet;in dienst doen ende datter een placcaet ter causen van desen vanden;1;Z;c
68;2990;1568_Gent_Vaer;1568;17;die anders ghezint;jau Van desen voorghebode zeijden die anders ghezint  waren als datter gheboden was;6;Z;c
69;2989;1568_Gent_Vaer;1568;17;die knechten ende kinderen;Dit voorghebodt ghelesen zijnde riepen die knechten ende kinderen jau jau Van desen voorghebode;6;Z;c
70;2992;1568_Gent_Vaer;1568;18;maren;De maren waren ghaende achter de straten ende hadden te voren;5;Z;c
71;2991;1568_Gent_Vaer;1568;18;maren;Van wonderlicke maren die onder tvolc ghezaeijt waren die eenen zeer;5;Z;c
72;2993;1568_Gent_Vaer;1568;24;liedekins ende balladen;drucke oft prente uutghaen zeker liedekins ende balladen  die in spotte vander;4;Z;c
73;2994;1568_Gent_Vaer;1568;28;een refereijn;Daer was noch een refereijn ghedruct dat zeijde dat Judas beter was;4;Z;c
74;2995;1568_Gent_Vaer;1568;30;zij;Ten eersten want zij zeijden dat zulcx behoorde toegheghaen te hebben;6;Z;c
75;2999;1568_Gent_Vaer;1568;31;de ghues;Ten vierden tes wel waer de ghues zegghen wel dat zij niemants;6;Z;c
76;2996;1568_Gent_Vaer;1568;31;de ghuesghezinde;Ten vijen zoo zeijden de ghuesghezinde  haer ooc onschuldich daer af;6;Z;c
77;2997;1568_Gent_Vaer;1568;31;sommighe gheestelicke;viijen zoo zeijden hier up sommighe gheestelicke  dat mense tauxeerde ter;6;Z;c
78;2998;1568_Gent_Vaer;1568;31;uesghezinde ende ooc de catolijcque;bedeerven waer up de gh uesghezinde ende ooc de catolijcque in andtwoorden ghaven dattet haerlier;6;Z;c
79;3003;1568_Gent_Vaer;1568;32;octroij;Ten anderen nopende t octroij  zij vermoghen wel in zulcken;1;Z;c
80;3004;1568_Gent_Vaer;1568;32;octroij;Ten anderen nopende t octroij  zij vermoghen wel in zulcken;1;Z;c
81;3002;1568_Gent_Vaer;1568;32;toctroij;Ten anderen nopende toctroij zij vermoghen wel in zulcken periculuesen tijt;1;Z;c
82;3006;1568_Gent_Vaer;1568;32;elc;zesten vijen ende viijen dattet elc van zijnen hals weerde zegghende;6;Z;c
83;3005;1568_Gent_Vaer;1568;32;men;ende hebben ooc octroij zoo men  zecht vande Regente ende al;6;Z;c
84;3000;1568_Gent_Vaer;1568;32;sommighe;alle inzetenen Al eijst dat sommighe  zeijden dattet de stede niet;6;Z;c
85;3001;1568_Gent_Vaer;1568;32;sommighe;die zij conden al zegghen sommighe  ghelijc men altijts stokers vint;6;Z;c
86;3007;1568_Gent_Vaer;1568;35;de mare;De mare  liep onder dume dat men expresselick die veltpredicanten te weten;5;Z;c
87;3009;1568_Gent_Vaer;1568;37;de mare;De mare  quam alsnu te Ghendt dat die inwoonders van Dounwaij oordenlick;5;Z;c
88;3010;1568_Gent_Vaer;1568;37;de tijdinghe;De tijdinghe  was oock te Ghendt hoe tHulst zeker ghuesen hadden haer;7;Z;c
89;3008;1568_Gent_Vaer;1568;37;men;Wederomme sprac men vele van Hermanus den veltpredicant zegghende dat hij;6;Z;c
90;3011;1568_Gent_Vaer;1568;38;de ghues;De ghues hadden van dese dijnghen veel te zegghen zegghende dat Godt;6;Z;c
91;3014;1568_Gent_Vaer;1568;40;dit;die daeraf dexecutie doen zal Dit  wart belast ende bevolen alomme;1;Z;c
92;3012;1568_Gent_Vaer;1568;40;een oordonancie ende placcaet;Van  een oordonancie ende placcaet  vanden Hove uutgheghaen hoe dat niemant gheweere ende wapenen;1;Z;c
93;3013;1568_Gent_Vaer;1568;40;stranghe placcaet;Hove ende noch van een ander stranghe placcaet jeghen die van Valenchiene;1;Z;c
94;3015;1568_Gent_Vaer;1568;42;men;Men zeijde ontrent desen tijt van een foele oft ghevecht tYpre;6;Z;c
95;3016;1568_Gent_Vaer;1568;42;sommighe gheestelicke;Hoe sommighe gheestelicke uut Vranckerijck ghecommen zijnde vertelden die deerlicke desolacie die;6;Z;c
96;3017;1568_Gent_Vaer;1568;42;sommighe gheestelicke mannen;Sommighe gheestelicke mannen  die uut Vrancrijck ghevlucht waren ende andere die tspel;6;Z;c
97;3020;1568_Gent_Vaer;1568;43;mare;De mare ghijnck ooc dat men te Doornicke up den helighen;5;Z;c
98;3018;1568_Gent_Vaer;1568;43;de gheestelicke;De gheestelicke  zeer vervaert zijnde ontbonden gheheel den zack van ghedichte;6;Z;c
99;3019;1568_Gent_Vaer;1568;43;men;Men zeijde te Ghendt up den derden Christdach dat de voornoemde;6;Z;c
100;3021;1568_Gent_Vaer;1568;44;de tijdijnghe;Ooc quam de tijdijnghe in de Christdaghen te Ghendtdatter te Rijssele vijve;7;Z;c
101;3025;1568_Gent_Vaer;1568;44;mare;wel haer woorden zoo de mare liep maer of haer herten;5;Z;c
102;3024;1568_Gent_Vaer;1568;44;zij;die voor den predicstoel die zij  om te ghaen zitten;6;Z;c
103;3023;1568_Gent_Vaer;1568;44;zij;die voor den predicstoel die zij om te ghaen zitten in;6;Z;c
104;3022;1568_Gent_Vaer;1568;44;zij;niet en leerde al behilpen zij  haer som daer mede zegghende;6;Z;c
105;3026;1568_Gent_Vaer;1568;47;men;Men  zeijde ooc dat die van Maestricht een stadt alf Bourgoens;6;Z;c
106;3028;1568_Gent_Vaer;1568;48;zij;beter gheinformeert vander waerheijt hopen zij  dan dat haer toornicheijt ende;6;Z;c
107;3027;1568_Gent_Vaer;1568;48;zij;hier scrijven wij nu zegghen zij  die oorzaken ende gronden;6;Z;c
108;3029;1568_Gent_Vaer;1568;48;zij;vanden verbonde Hier inne bidden zij  te willen oordeelen UG ofter;6;Z;c
109;3030;1568_Gent_Vaer;1568;48;remonstracie;Dese voornoemde remonstracie hebbic aldus int curte overloopen die kerne uutnemende;4;Z;c
110;3032;1568_Gent_Vaer;1568;49;de mare;De mare  wart alsnu ghaende dat men de predicatie buten curts beletten;5;Z;c
111;3031;1568_Gent_Vaer;1568;49;de tijdijnghe;Alsdoe quam ooc de tijdijnghe te Ghendt dat tgharnisoen te Nieukeercke in;7;Z;c
112;3034;1568_Gent_Vaer;1568;49;dander;deen zeijde eer drij weken dander eer xiiij daghen Maer die;6;Z;c
113;3033;1568_Gent_Vaer;1568;49;deen;curts beletten ende weeren zoude deen  zeijde eer drij weken dander;6;Z;c
114;3036;1568_Gent_Vaer;1568;50;brieven;hadde overghezonden zijnen wille in  brieven als dat men zoude doen;2;Z;c
115;3037;1568_Gent_Vaer;1568;50;de tijdijnghe;Noch quam de tijdijnghe te Ghendt den eersten februarius als dat die;7;Z;c
116;3035;1568_Gent_Vaer;1568;50;men;Men zeijde alghemeene dat onsen Coninc hadde overghezonden zijnen wille in;6;Z;c
117;3038;1568_Gent_Vaer;1568;51;men;Men zecht dat dees consistorianten gheleet waren alle in een camere;6;Z;c
118;3039;1568_Gent_Vaer;1568;51;zij;van haer andtwoorde gheheescht oft zij die voorghelesen pointen obedieren ende;6;Z;c
119;3040;1568_Gent_Vaer;1568;52;men;Men  zecht dat Hermanus den predicant ontrent desen tijt beleijt was;6;Z;c
120;3042;1568_Gent_Vaer;1568;53;de mare;De mare quam ooc te Ghendt dat zeker Fremenueren int Fremenueren clooster;5;Z;c
121;3041;1568_Gent_Vaer;1568;53;de mare;Ooc lieten de ghues  de mare  uutghaen dattet de Gouvernante berauwen was;5;Z;c
122;3043;1568_Gent_Vaer;1568;54;de mare;Ontrent desen tijt ghijnck de mare alghemeene als dat men die stadt;5;Z;c
123;3044;1568_Gent_Vaer;1568;61;prince van oraingien;Ontrent dees tijt es den prince van Oraingien  met zijnder huijsvrauwe uut Andtweerpen;6;Z;c
124;2795;1574_Antw_EykP;1574;43;een gerucht;van de Predicatie isser noch een gerucht  gebeurt door t schieten van;5;Z;c
125;2796;1574_Antw_EykP;1574;53;men;Doen seyt  men dat sy ginghen om de Prince van Orangiens;6;Z;c
126;2797;1574_Antw_EykP;1574;53;men;Item het heylich Sacra men t des Outaers dat met voeten;6;Z;c
127;2798;1574_Antw_EykP;1574;54;een gebodt;den selven dach heefft men een gebodt  gedaen van weghen de stadt;1;Z;c
128;2799;1574_Antw_EykP;1574;54;men;niet gelaten en wert want men gaff haer consent vry in;6;Z;c
129;2800;1574_Antw_EykP;1574;58;een gebot;Noch werter in dese maent  een gebot gedaen dat niemant meer met;1;Z;c
130;2801;1574_Antw_EykP;1574;61;r den prince van orangien;al vuyt getrocken hebben mae r den Prince van Orangien ontraydet hun seggende datse buyten;6;Z;c
131;2802;1574_Antw_EykP;1574;62;de tweede petitie;De tweede Petitie was dat sy wilden hebben t Stathuys tot haren wille;1;Z;c
132;2803;1574_Antw_EykP;1574;62;het derde versuck;Het derde versuck was dat sy begheerden te hebben de sleutelen van de;1;Z;c
133;2804;1574_Antw_EykP;1574;63;den prince;Waer van den Prince zeer verslaghen synde heeft geseyt goede mannen houdt;6;Z;c
134;2805;1574_Antw_EykP;1574;64;het contract;Stad en aen sommighe Poorten  het contract  affpubliceren en hadde ooc de;1;Z;c
135;1701;1574_Antw_Haec;1574;10;brieven;jaere so waeren oock eenighe brieven gecomen aen eenighe wyckmeesteren in;2;Z;c
136;1704;1574_Antw_Haec;1574;11;brieven;Item deestyt waeren oock brieven  op de wyckmeesters doeren gehecht het;2;Z;c
137;1702;1574_Antw_Haec;1574;11;brieven;Item deestyt waeren oock brieven op de wyckmeesters doeren gehecht het;2;Z;c
138;1703;1574_Antw_Haec;1574;11;opschrift;de wyckmeesters doeren gehecht het opschrift  was ‘doet op en leest;1;Z;c
139;1705;1574_Antw_Haec;1574;13;groot gerucht;maent so quam er weder groot gerucht int landt ende tot Brusel;5;Z;c
140;1707;1574_Antw_Haec;1574;13;roep;de inquisitie wil brenghen Den roep  was dat onlancx hertoch Erich;5;Z;c
141;1706;1574_Antw_Haec;1574;13;het volck;Hierdoer was het volck meer geturbeert seggende Nou so siet men dat;6;Z;c
142;1709;1574_Antw_Haec;1574;15;requeste;Hier volcht de requeste  by den edeldom overgegeven en gepresenteert op;1;Z;c
143;1708;1574_Antw_Haec;1574;15;requeste;soude behooren te volghen de Requeste den 5 April 1566 by;1;Z;c
144;1711;1574_Antw_Haec;1574;16;antwoerde;De antwoerde gedaen tot Brussel op den 6 april 1566 op;2;Z;c
145;1712;1574_Antw_Haec;1574;16;replique;De replique oft bedanckinge van den edeldom op de antwoerde van;2;Z;c
146;1713;1574_Antw_Haec;1574;16;requeste;Hier volcht de Requeste van de Vier Leden des landts van;1;Z;c
147;1710;1574_Antw_Haec;1574;16;requeste;Requeste by den edeldom gepresenteert opt corste maer den selven gront;1;Z;c
148;1714;1574_Antw_Haec;1574;20;copye van de principaelste articulen;Copye van de principaelste articulen  die van weghen der goevernante den staten van Vlaenderen;1;Z;c
149;1715;1574_Antw_Haec;1574;21;vermaen;Vermaen aen de regierders van den lande van Brabant teghen die;2;Z;c
150;1717;1574_Antw_Haec;1574;23;geroep;opelyck onlancx hier na t geroep gecomen en oock waerachtich dat;5;Z;c
151;1718;1574_Antw_Haec;1574;23;roep;En den  roep liep in Spaengien overal dat de conick maer;5;Z;c
152;1719;1574_Antw_Haec;1574;23;roep;Item deestyt den roep  synde dat den conick soude overcomen so;5;Z;c
153;1716;1574_Antw_Haec;1574;23;de minnebroeders;hier te voren so waeren de minnebroeders  tot Antwerpen gecomen voer den;6;Z;c
154;1720;1574_Antw_Haec;1574;24;boecxken;Hier volcht een boecxken  welck eenighe wyse en verstandighe mannen;4;Z;c
155;1721;1574_Antw_Haec;1574;26;remonstrance;Remonstrance aen den grootmachtighen conick van Spaengien etc op de requeste;6;Z;c
156;1722;1574_Antw_Haec;1574;27;de placcaten;ter inquisitie naer inhoudt van de placcaten  so soude daer noch;1;Z;c
157;1724;1574_Antw_Haec;1574;27;placcaten;Insgelycx dat men volgende de placcaten soude moeten het minste woerdt;1;Z;c
158;1723;1574_Antw_Haec;1574;27;placcaten;Maer in de placcaten en wordt van de reden niet geroert;1;Z;c
159;1725;1574_Antw_Haec;1574;27;placcaten;tot de overtreders van de placcaten gestelt syn te weten dat;1;Z;c
160;1726;1574_Antw_Haec;1574;27;actor 17 2 patri 1 mat 13 2 timoth 3;in der scrifturen gepresen Leest Actor 17 2 Patri 1 Mat 13 2 Timoth 3  wat Paulus daer seyt Leest;9;Z;c
161;1727;1574_Antw_Haec;1574;28;boecxken;Hier was deestyt noch een boecxken uytgegaen en gedruckt en van;4;Z;c
162;1728;1574_Antw_Haec;1574;30;roep;sincroeren en pistoletten want den roep  liep in stat dat den;5;Z;c
163;1729;1574_Antw_Haec;1574;30;roepen;doer en doer ander quade roepen  werdt in Antwerpen de;5;Z;c
164;1730;1574_Antw_Haec;1574;32;2 muytmakers;Ende de nacht daerna waeren 2 muytmakers loopende doer Borgerhout en Dambrugghe;6;Z;c
165;1731;1574_Antw_Haec;1574;34;antwoerde t;werdt van de heeren de antwoerde t ot Brusel aen de regente;6;Z;c
166;1732;1574_Antw_Haec;1574;37;de papen;Welck de papen hoorende hebben haer seer beclaecht aen den prinsche van;6;Z;c
167;1733;1574_Antw_Haec;1574;39;brieven;Daer screef den conick ander  brieven  ende hy wederriep syn;2;Z;c
168;1734;1574_Antw_Haec;1574;39;t besceet;handelinghe en oprechte meeninghe waerinne  t besceet wordt gedaen van weghen de;1;Z;c
169;1735;1574_Antw_Haec;1574;39;boecxken;Dit stont voer op t boecxken al gedruckt die men openbaerlyck;4;Z;c
170;1736;1574_Antw_Haec;1574;43;dit;Dit was deestyt openbaerlyck gedruckt;1;Z;c
171;1737;1574_Antw_Haec;1574;45;de goevernuers;En alle de goevernuers  van alle steden waeren meest al papists;1;Z;c
172;1738;1574_Antw_Haec;1574;45;de gemeynte;dat doen souden So seyde de gemeynte  En oft gy sulcx;6;Z;c
173;1739;1574_Antw_Haec;1574;47;mertinus lutherus leere oft het confessie van ausborch;Kiel welcken prochiaen aldaer leerde Mertinus Lutherus leere oft het confessie van Ausborch  en dese predicatien ghescieden;8;Z;c
174;1740;1574_Antw_Haec;1574;48;12 cappiteynen der calvinisten;Ende in oer nacht brochten 12 cappiteynen der calvinisten de heeren van der stat;6;Z;c
175;1741;1574_Antw_Haec;1574;48;heeren;12 cappiteynen der calvinisten de heeren van der stat vuel silvers;6;Z;c
176;1742;1574_Antw_Haec;1574;49;predicant;Maer den predicant der mertinisten bleef predicken in S Joriskercke en;6;Z;c
177;1743;1574_Antw_Haec;1574;51;mandaet;Item deestyt is er een mandaet  uytgegaen van weghen de hertoginne;1;Z;c
178;1744;1574_Antw_Haec;1574;55;de tydinghe;eynde van deser maent quam de tydinghe  hoe dat den Torck;7;Z;c
179;1745;1574_Antw_Haec;1574;55;hy;En incomende vraechde hy na synen cosyn en seyden ‘Hy sidt;6;Z;c
180;1746;1574_Antw_Haec;1574;55;hy;vraghen waerom ditte so antwoerde hy Daer soeckt gy my op;6;Z;c
181;1747;1574_Antw_Haec;1574;56;roep;deestyt was er eenen grooten  roep in t Nederlant dat de;5;Z;c
182;1748;1574_Antw_Haec;1574;57;sy;onsculdighe meest uyt waeren riepen sy  ‘Grijp aen’ en werden;6;Z;c
183;1749;1574_Antw_Haec;1574;58;mandaet;gedaen en was want het  mandaet by den prinsche dOraengien gedaen;1;Z;c
184;1750;1574_Antw_Haec;1574;61;deen;tusschen vrinden susters en broers deen  prees dit dander dat en;6;Z;c
185;1752;1574_Antw_Haec;1574;68;2 brieven;so werden in haer predicatie  2 brieven voorts gegheven eenen aen IJsebrant;2;Z;c
186;1751;1574_Antw_Haec;1574;68;de calvinisten;En de calvinisten werden van de predicanten der mertinisten ter disputatien beroepen;6;Z;c
187;1753;1574_Antw_Haec;1574;71;sij;bevel hadden om te verbieden Sij seyden ‘neen’ maer souden wel;6;Z;c
188;1754;1574_Antw_Haec;1574;73;elck;niemant en bracht water aen elck  seyde ‘Laet het bordeel branden’;6;Z;c
189;1755;1574_Antw_Haec;1574;74;die van s hertoghenbossch;Ende desen tijt hielden die van s Hertoghenbossch e den cancelier van Brabant noch;6;Z;c
190;1756;1574_Antw_Haec;1574;83;segghende;papen huysen meynden te halen segghende ‘Laet ons wijn drincken mergen;6;Z;c
191;1757;1574_Antw_Haec;1574;84;de calvinisten;lanck reck getrocken om teghen de calvinisten  te slaen En als den;6;Z;c
192;1758;1574_Antw_Haec;1574;98;godts geboden;dat het volck daer altoos Godts geboden was lesende en sommige van;1;Z;c
193;1759;1574_Antw_Haec;1574;118;hy;Ende t gesciede dat hy present wesende op der Vrydach merct;6;Z;c
194;1760;1574_Antw_Haec;1574;128;de tijdinge;Ende corts hierna so quam de tijdinge  dat graef Loduwyck van;7;Z;c
195;1761;1574_Antw_Haec;1574;131;de tydinghe;Item deestyt quam  de tydinghe  als dat graef Loduwyck een sterck clooster;7;Z;c
196;1762;1574_Antw_Haec;1574;134;de tydinghe;Item deestyt quam  de tydinghe  hoe dat in Vrieslant op den 23;7;Z;c
197;1763;1574_Antw_Haec;1574;138;tydinghe;Item deestyt quam de tydinghe dat den grave van Montigni die;7;Z;c
198;1764;1574_Antw_Haec;1574;144;tijdinghe;Item deestyt quam de  tijdinghe  alsdat den prinsche van Condé die;7;Z;c
199;1765;1574_Antw_Haec;1574;145;tijdinghe;deser maent so quam de tijdinghe  alsdat den prinschen van Orangien;7;Z;c
200;1766;1574_Antw_Haec;1574;145;tydinghe;Item deestyt quam de tydinghe  als hoe dat den keyser Maximilianus;7;Z;c
201;1767;1574_Antw_Haec;1574;146;copye van t besluyten;Copye van t besluyten van synen nieuwen rade van 12 inhoudende diveersche persoonen in;1;Z;c
202;3096;1575_Antw_Ulle;1575;56;sommighe van die calvinisten;die paeps gesint waeren want  sommighe van die calvinisten  gingen tot sommige catholycke die;6;Z;c
203;3098;1575_Antw_Ulle;1575;58;den breeden raet;Op dese tydinghe heeft  den breeden raet Hermano antwoorde gegeven den calvinisten te;1;Z;c
204;3097;1575_Antw_Ulle;1575;58;dese tydinghe;Op dese tydinghe heeft den breeden raet Hermano antwoorde gegeven den calvinisten;7;Z;c
